original_index,text,sentiment,predicted_sentiment,is_correct,error_type,error_reason_category,reason_it_failed
4341,Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,negative,neutral,False,negative -> neutral,negative_neutral_boundary,"The sentence describes an operational setback, but it is written in a factual news style. The model may not have learned that words such as 'banned' and 'not yet ready' indicate negative business impact, so it classified the headline as neutral."
4543,Small investors have voiced fears that the shares will end up with risk investors .,negative,neutral,False,negative -> neutral,negative_neutral_boundary,"The headline contains investor fears about share-related risk, which is negative sentiment. However, the wording is indirect and not based on common financial decline words such as loss, fall, or decrease, so the model likely treated it as neutral."
3472,A total of 140 jobs will be reduced at the Raahe Steel Works .,negative,neutral,False,negative -> neutral,negative_neutral_boundary,"The sentence reports job reductions, which is a negative business event. The model likely treated it as neutral because the wording is factual and administrative rather than strongly negative."
3295,"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",negative,neutral,False,negative -> neutral,negative_neutral_boundary,"The sentence describes personnel reductions across multiple units, which is negative. However, it is written in a formal factual tone, so the model likely treated it as neutral news rather than negative sentiment."
4413,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative,positive,False,negative -> positive,missed_directionality,"The model likely focused on positive-sounding finance terms such as cash flow and operations, but missed that the cash flow was negative and much worse than the previous year."
4811,"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative,positive,False,negative -> positive,missed_directionality,"The headline contains the word profit, which may have pushed the model toward positive. However, the actual direction is negative because operating profit fell sharply from the previous year."
1706,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",negative,positive,False,negative -> positive,mixed_financial_signal,"The sentence contains positive-looking terms such as positive one-offs and EBITDA, but the actual sentiment is negative because adjusted EBITDA was clearly below expectations. The model likely overreacted to positive finance words and missed the final negative context."
4544,"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,positive,False,negative -> positive,missed_negative_context,"The model likely did not capture that burdened, increased fixed costs, and restructuring costs indicate negative pressure on results. The sentence is financially negative even though it is written in a formal factual tone."
4189,"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,negative,False,neutral -> negative,keyword_overreaction,"The model likely reacted to negative words such as furlough and employee, but the dataset label treats this as neutral factual reporting. This shows that the model can over-classify factual corporate actions as negative."
2401,"At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 .",neutral,negative,False,neutral -> negative,keyword_overreaction,"The word declined strongly suggests negative sentiment, so the model predicted negative. However, the sentence is mainly a factual market-price update with broader index context, so the true label is neutral."
480,Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,neutral,negative,False,neutral -> negative,keyword_overreaction,"The model likely focused on the word decreased and interpreted it as negative. In context, the sentence describes operational efficiency from better contact information, so the label is neutral rather than negative."
4587,"The podcast , sees Harple provide the low-down on GyPSii 's platform , which takes someone 's location and demographic information to produce a contextual index of the world around them .",neutral,negative,False,neutral -> negative,misleading_token,"The phrase low-down may have looked negative at the token level, but in this context it simply means an explanation or overview. The model lacks contextual understanding and treated the phrase as negative."
3565,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,positive,False,neutral -> positive,neutral_positive_boundary,"The sentence contains positive-sounding business terms such as global supply, solutions, and services. However, it is only describing the company's business activities, so the correct label is neutral."
1362,The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .,neutral,positive,False,neutral -> positive,neutral_positive_boundary,"The model may have interpreted shareholders, vote, and agreement as positive corporate-action signals. But the sentence only states that shareholders can vote on an agreement, which is factual and neutral."
1536,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",neutral,positive,False,neutral -> positive,neutral_positive_boundary,"The sentence mentions increase and growing smartphone popularity, which can look positive to a keyword-based model. However, it is a factual industry trend statement, not a direct positive company sentiment."
399,Pohjola could increase its stake to 45 % in 2013 .,neutral,positive,False,neutral -> positive,neutral_positive_boundary,"The model likely treated increase its stake as a positive business signal. But the wording is conditional and factual, so the true label is neutral."
4066,"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,negative,False,positive -> negative,missed_comparison_direction,"The sentence is positive because cash flow improved from a negative EUR 68.6 mn to a positive EUR 7.4 mn. The model likely focused on the word negative and the large negative number, missing the improvement direction."
2121,"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive,negative,False,positive -> negative,missed_comparison_direction,The sentence is positive because the company moved from a loss to a pretax profit. The model likely focused on the word loss and failed to understand that the comparison shows improvement.
2167,"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",positive,negative,False,positive -> negative,missed_comparison_direction,The sentence is positive because pretax profit is reported compared with a large loss in the previous period. The model likely overreacted to the word loss and missed the positive turnaround.
2101,"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year .",positive,negative,False,positive -> negative,missed_positive_financial_direction,The sentence reports higher earnings before tax and higher net profit compared with the previous year. The model likely failed to interpret the numeric comparison correctly and did not capture the positive direction.
813,"According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .",positive,neutral,False,positive -> neutral,positive_neutral_boundary,"The sentence describes a lease agreement and hotel construction, which can be a positive business development. However, it is written as a factual agreement, so the model treated it as neutral."
2253,`` Leipurin is a growing and rapidly internationalizing Group .,positive,neutral,False,positive -> neutral,positive_neutral_boundary,The positive signal comes from growing and rapidly internationalizing. The model may have treated the sentence as a simple company description instead of recognizing it as positive business momentum.
2015,"Instead , Elcoteq has signed a non-binding Letter of Intent with another Asian strategic investor .",positive,neutral,False,positive -> neutral,positive_neutral_boundary,"The sentence describes signing a Letter of Intent with a strategic investor, which is a positive business signal. The model likely treated it as a factual corporate announcement because the positive impact is implicit."
389,YIT Construction and the town of Riihim+Æki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,positive,neutral,False,positive -> neutral,positive_neutral_boundary,"The sentence describes a signed lease contract, which the dataset labels as positive. The model likely classified it as neutral because contract announcements often read like factual business news unless value or growth impact is explicit."
